"","pid","trial","datetime","type","item","exposure_time","use","react_(clear)","react_angry","react_disgust","react_heart","react_laugh","react_like","react_sad","react_surprise","react","share","comment","comment_made"
"98","14139667",2,"25/09/2025 12:22:24","filler","beckham",3629.49999995231,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"99","14139667",3,"25/09/2025 12:22:46","filler","natgeo",22265.8000000477,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"100","14139667",4,"25/09/2025 12:23:07","filler","avocado",20980.5999999046,TRUE,0,0,0,0,1,0,0,0,1,0,NA,0
"101","14139667",5,"25/09/2025 12:23:10","filler","fish",2890.89999999999,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"102","14139667",6,"25/09/2025 12:23:20","filler","yacht",10191.9,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"103","14139667",7,"25/09/2025 12:23:27","filler","watch",6684.60000000001,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"104","14139667",8,"25/09/2025 12:23:36","trees","trees",9619.3,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"105","14139667",9,"25/09/2025 12:23:57","filler","washpo",20921.3000000954,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"106","14139667",10,"25/09/2025 12:23:59","filler","swaps",1974.99999995233,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"107","14139667",11,"25/09/2025 12:24:12","filler","train",12302.4999999523,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"108","14139667",12,"25/09/2025 12:24:26","filler","nasa",14147.1999999523,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"109","14139667",13,"25/09/2025 12:25:31","filler","starwars",64983.4999999523,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"110","14139667",14,"25/09/2025 12:25:53","filler","jewellery",22634.3999999523,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"111","14139667",15,"25/09/2025 12:25:55","filler","pizza",1399.39999999999,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"112","14139667",16,"25/09/2025 12:25:58","filler","lyrics",3233.99999995233,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"113","14139668",1,"25/09/2025 12:22:05","filler","yacht",5362.2,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"114","14139668",2,"25/09/2025 12:22:09","filler","train",4005.20000004768,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"115","14139668",3,"25/09/2025 12:22:17","filler","lyrics",7726.00000009537,TRUE,0,0,0,1,0,0,0,0,1,0,NA,0
"116","14139668",4,"25/09/2025 12:22:20","filler","beckham",3022.8,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"117","14139668",5,"25/09/2025 12:22:23","filler","washpo",3172.20000009537,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"118","14139668",6,"25/09/2025 12:22:26","filler","natgeo",2810.30000004769,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"119","14139668",7,"25/09/2025 12:22:35","filler","jewellery",9145.10000000001,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"120","14139668",8,"25/09/2025 12:22:39","trees","trees",4255,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"121","14139668",9,"25/09/2025 12:22:41","filler","watch",1755.80000004769,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"122","14139668",10,"25/09/2025 12:22:43","filler","starwars",1890.29999995232,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"123","14139668",11,"25/09/2025 12:22:49","filler","puppy",5470.9000000477,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"124","14139668",12,"25/09/2025 12:23:08","filler","avocado",19276.6000000477,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"125","14139668",13,"25/09/2025 12:23:13","filler","swaps",4891.69999995231,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"126","14139668",14,"25/09/2025 12:23:21","filler","pizza",8468.00000009537,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"127","14139668",15,"25/09/2025 12:23:26","filler","fish",4515.60000004768,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"128","14139668",16,"25/09/2025 12:23:29","filler","nasa",3849.59999990463,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"129","14139669",1,"25/09/2025 12:14:42","filler","yacht",10699.6,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"130","14139669",2,"25/09/2025 12:14:50","filler","beckham",7939.78,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"131","14139669",3,"25/09/2025 12:15:00","filler","natgeo",9959.78,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"132","14139669",4,"25/09/2025 12:15:10","filler","fish",9731.18,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"133","14139669",5,"25/09/2025 12:15:21","filler","avocado",11684.98,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"134","14139669",6,"25/09/2025 12:15:35","filler","jewellery",14045.1,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"135","14139669",7,"25/09/2025 12:15:46","filler","nasa",10652.34,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"136","14139669",8,"25/09/2025 12:15:55","trees","trees",9170.75999999999,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"137","14139669",9,"25/09/2025 12:16:05","filler","washpo",10295.54,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"138","14139669",10,"25/09/2025 12:16:24","filler","pizza",18211.6,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"139","14139669",11,"25/09/2025 12:16:26","filler","puppy",2705.34,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"140","14139669",12,"25/09/2025 12:16:29","filler","lyrics",3227.44,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"141","14139669",13,"25/09/2025 12:16:41","filler","train",11593.9,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"142","14139669",14,"25/09/2025 12:16:45","filler","swaps",4029.04000000001,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"143","14139669",15,"25/09/2025 12:16:47","filler","starwars",1980.62,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"144","14139669",16,"25/09/2025 12:16:49","filler","watch",1859.04000000001,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"145","14139670",1,"25/09/2025 12:14:58","filler","jewellery",14828.6,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"146","14139670",2,"25/09/2025 12:15:05","filler","avocado",7346.39999997616,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"147","14139670",3,"25/09/2025 12:15:36","filler","yacht",31201.1999999762,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"148","14139670",4,"25/09/2025 12:15:41","filler","lyrics",4179.20000000001,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"149","14139670",5,"25/09/2025 12:15:59","filler","swaps",18764.5,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"150","14139670",6,"25/09/2025 12:16:03","filler","watch",3424.39999990464,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"151","14139670",7,"25/09/2025 12:16:12","filler","washpo",9339.39999999999,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"152","14139670",8,"25/09/2025 12:16:21","trees","trees",8756.99999990463,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"153","14139670",9,"25/09/2025 12:16:26","filler","puppy",5718.79999992848,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"154","14139670",10,"25/09/2025 12:16:40","filler","natgeo",13503.1,TRUE,0,0,0,1,0,0,0,0,1,0,NA,0
"155","14139670",11,"25/09/2025 12:16:45","filler","train",4951.69999992847,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"156","14139670",12,"25/09/2025 12:16:49","filler","beckham",3871.29999997615,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"157","14139670",13,"25/09/2025 12:16:52","filler","fish",3059.49999997616,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
