Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID,randomiser-wisg
21,1758455167268,21/09/2025 11:46,1758458767268,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I like hearing about breakthroughs in science and technology,response,value,3,,,filler_pizza,7,object-14,integrated_blocks
22,1758455167268,21/09/2025 11:46,1758458767268,1,21/09/2025 13:46,238955,3,questionnaire-jx4p,,49329707,BLINDED,14114577,,complete,,68cfe3f5300a450d9a326d3e,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.6,810x1080,1080x704,,,0,Behavioural intentions,4,,,,,info,,END,28819,,,,,integrated_blocks
1,1758455246330,21/09/2025 11:47,1758458846330,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,,,,,info,,BEGIN,,,,,,sep_blocks
2,1758455246366,21/09/2025 11:47,1758458846366,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,trees_find_out,2,object-3,sep_blocks
3,1758455246367,21/09/2025 11:47,1758458846367,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,trees_water,3,object-5,sep_blocks
4,1758455246368,21/09/2025 11:47,1758458846368,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_travel,4,object-4,sep_blocks
5,1758455246369,21/09/2025 11:47,1758458846369,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_watch,5,object-6,sep_blocks
6,1758455246370,21/09/2025 11:47,1758458846370,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_pizza,6,object-13,sep_blocks
7,1758455246370,21/09/2025 11:47,1758458846370,1,21/09/2025 13:47,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,,info,,4,,,filler_pizza,7,object-14,sep_blocks
17,1758455286368,21/09/2025 11:48,1758458886368,1,21/09/2025 13:48,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I plan to find out more about caring for newly planted trees in my local area,response,value,2,,,trees_find_out,2,object-3,sep_blocks
18,1758455286368,21/09/2025 11:48,1758458886368,1,21/09/2025 13:48,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,"I will water newly planted trees in my local area, especially during hot and dry weather",response,value,4,,,trees_water,3,object-5,sep_blocks
19,1758455286368,21/09/2025 11:48,1758458886368,1,21/09/2025 13:48,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,"When I plan a holiday, scenery and geography are important to my choices",response,value,2,,,filler_travel,4,object-4,sep_blocks
20,1758455286368,21/09/2025 11:48,1758458886368,1,21/09/2025 13:48,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I plan to buy a smart watch in the next three months,response,value,1,,,filler_watch,5,object-6,sep_blocks
21,1758455286369,21/09/2025 11:48,1758458886369,1,21/09/2025 13:48,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I like to try new foods and new restaurants ,response,value,6,,,filler_pizza,6,object-13,sep_blocks
22,1758455286369,21/09/2025 11:48,1758458886369,1,21/09/2025 13:48,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,Page 1,uvedb8,1,I like hearing about breakthroughs in science and technology,response,value,6,,,filler_pizza,7,object-14,sep_blocks
23,1758455286369,21/09/2025 11:48,1758458886369,1,21/09/2025 13:48,238955,3,questionnaire-jx4p,,49329736,BLINDED,14114580,,complete,,68cfe40fa275284e0fd0dee2,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 18.5,834x1194,1194x727,,,0,Behavioural intentions,4,,,,,info,,END,39999,,,,,sep_blocks
1,1758455448828,21/09/2025 11:50,1758459048828,1,21/09/2025 13:50,238955,3,questionnaire-jx4p,,49329777,BLINDED,14114581,,complete,,68cfe427bb7972d57fb4fd9d,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1280x720,1707x735,,,0,Behavioural intentions,4,,,,,info,,BEGIN,,,,,,integrated_blocks
