Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
22,1758799870184,25/09/2025 11:31:10,1758799870184,1,25/09/2025 12:31:10,239176,3,questionnaire-jx4p,,49416041,BLINDED,14139663,,complete,,68d523c8f6269da98d04e543,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 140.0.0.0,1920x1080,1324x830,,,0,Behavioural intentions,6,,,,,info,,END,35546,,,,
1,1758799544382,25/09/2025 11:25:44,1758799544382,1,25/09/2025 12:25:44,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,,,,,info,,BEGIN,,,,,
2,1758799544479,25/09/2025 11:25:44,1758799544479,1,25/09/2025 12:25:44,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,trees_find_out,2,object-3
3,1758799544486,25/09/2025 11:25:44,1758799544486,1,25/09/2025 12:25:44,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,trees_water,3,object-5
4,1758799544491,25/09/2025 11:25:44,1758799544491,1,25/09/2025 12:25:44,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_travel,4,object-4
5,1758799544498,25/09/2025 11:25:44,1758799544498,1,25/09/2025 12:25:44,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_watch,5,object-6
6,1758799544503,25/09/2025 11:25:44,1758799544503,1,25/09/2025 12:25:44,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_pizza,6,object-13
7,1758799544508,25/09/2025 11:25:44,1758799544508,1,25/09/2025 12:25:44,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_sci,7,object-14
16,1758799600032,25/09/2025 11:26:40,1758799600032,1,25/09/2025 12:26:40,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I plan to find out more about caring for newly planted trees in my local area,response,value,1,,,trees_find_out,2,object-3
17,1758799600033,25/09/2025 11:26:40,1758799600033,1,25/09/2025 12:26:40,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,"I will water newly planted trees in my local area, especially during hot and dry weather",response,value,5,,,trees_water,3,object-5
18,1758799600033,25/09/2025 11:26:40,1758799600033,1,25/09/2025 12:26:40,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,"When I plan a holiday, scenery and geography are important to my choices",response,value,3,,,filler_travel,4,object-4
19,1758799600033,25/09/2025 11:26:40,1758799600033,1,25/09/2025 12:26:40,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I plan to buy a smart watch in the next three months,response,value,7,,,filler_watch,5,object-6
20,1758799600034,25/09/2025 11:26:40,1758799600034,1,25/09/2025 12:26:40,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I like to try new foods and new restaurants ,response,value,7,,,filler_pizza,6,object-13
21,1758799600034,25/09/2025 11:26:40,1758799600034,1,25/09/2025 12:26:40,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I like hearing about breakthroughs in science and technology,response,value,7,,,filler_sci,7,object-14
22,1758799600035,25/09/2025 11:26:40,1758799600035,1,25/09/2025 12:26:40,239176,3,questionnaire-jx4p,,49415915,BLINDED,14139664,,complete,,68d523c93e0e839b0cf4b2fa,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1920x1080,2133x1063,,,0,Behavioural intentions,6,,,,,info,,END,55526,,,,
1,1758799398939,25/09/2025 11:23:18,1758799398939,1,25/09/2025 12:23:18,239176,3,questionnaire-jx4p,,49415869,BLINDED,14139665,,complete,,68d523cbbd57782c894ee5d7,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1360x768,1360x607,,,0,Behavioural intentions,6,,,,,info,,BEGIN,,,,,
2,1758799398970,25/09/2025 11:23:18,1758799398970,1,25/09/2025 12:23:18,239176,3,questionnaire-jx4p,,49415869,BLINDED,14139665,,complete,,68d523cbbd57782c894ee5d7,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1360x768,1360x607,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,trees_find_out,2,object-3
3,1758799398972,25/09/2025 11:23:18,1758799398972,1,25/09/2025 12:23:18,239176,3,questionnaire-jx4p,,49415869,BLINDED,14139665,,complete,,68d523cbbd57782c894ee5d7,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,1360x768,1360x607,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,trees_water,3,object-5
